Book_Name,Book_Published_Date,First_Author,Book_Authors,Book_Image,Book_Price,Book_Publisher 1 1,Book_Dimensions,Book_Catagory
Starship Troopers,"May 15, 1987",Robert A. Heinlein,Robert A. Heinlein,https://images-na.ssl-images-amazon.com/images/I/51A+JZrPN3L._AC_US218_.jpg,$8.09,Ace ,4.2 x 0.9 x 7.6 inches,Space Marine
Bread Illustrated: A Step-By-Step Guide to Achieving Bakery-Quality Results At Home,"Sep 6, 2016",America's Test Kitchen,America's Test Kitchen,https://images-na.ssl-images-amazon.com/images/I/51jqxnjKfSL._AC_US218_.jpg,$14.98,America's Test Kitchen,8.5 x 0.9 x 10 inches,Gourmet
The Remains of the Day,"Sep 12, 1990",Kazuo Ishiguro,Kazuo Ishiguro,https://images-na.ssl-images-amazon.com/images/I/51zWSIKjmuL._AC_US218_.jpg,$8.29,Vintage International,5.2 x 0.6 x 7.9 inches,Historical
The God of Small Things: A Novel,"Dec 16, 2008",Arundhati Roy,Arundhati Roy,https://images-na.ssl-images-amazon.com/images/I/41iffjvqdQL._AC_US218_.jpg,$8.29,Random House Trade Paperbacks,5.1 x 0.7 x 8 inches,Indian
Uprooted: A Novel,"Mar 1, 2016",Naomi Novik,Naomi Novik,https://images-na.ssl-images-amazon.com/images/I/61pUui+jPAL._AC_US218_.jpg,$10.87,Del Rey,5.5 x 1 x 8.2 inches,Mythology & Folk Tales
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),"Jun 18, 2015",E L James,E L James,https://images-na.ssl-images-amazon.com/images/I/41XcFM8KkEL._AC_US218_.jpg,$9.57,Vintage ,5.2 x 1 x 8 inches,Urban
"Eat Complete: The 21 Nutrients That Fuel Brainpower, Boost Weight Loss, and Transform Your Health","May 17, 2016",Drew Ramsey M.D.,Drew Ramsey M.D.,https://images-na.ssl-images-amazon.com/images/I/51yTZdVCp8L._AC_US218_.jpg,$11.04,Harper Wave,7.4 x 1 x 9.1 inches,Neurology
Ms. Marvel Volume 1: No Normal,"Oct 28, 2014",G. Willow Wilson ,G. Willow Wilson ; Adrian Alphona,https://images-na.ssl-images-amazon.com/images/I/51BOgQBReyL._AC_US218_.jpg,$9.66,Marvel ,6.6 x 0.2 x 10.2 inches,Mystery
11/22/63: A Novel,"Nov 8, 2011",Stephen King,Stephen King,https://images-na.ssl-images-amazon.com/images/I/51vTQSkTUlL._AC_US218_.jpg,$9.28,Scribner ,9.3 x 6.3 x 2.7 inches,Alternate History
Red Rising,"Jan 28, 2014",Pierce Brown,Pierce Brown,https://images-na.ssl-images-amazon.com/images/I/517HuWn9+mL._AC_US218_.jpg,$12.96,Del Rey ,6.4 x 1.2 x 9.5 inches,Dystopian
Sweat (TCG Edition),"Jun 13, 2017",Lynn Nottage,Lynn Nottage,https://images-na.ssl-images-amazon.com/images/I/41CjO4VF1nL._AC_US218_.jpg,$12.86,Theatre Communications Group ,5.5 x 0.5 x 8.5 inches,Dramas & Plays
